sort_order,repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
00000.00102,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019576,Othniel Charles Marsh papers,"Bennett, R.N.",file,,,
00000.00103,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019577,Othniel Charles Marsh papers,"Berzelius, Jons Jakob",file,,,
00000.00104,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019578,Othniel Charles Marsh papers,"Berends, D.H.",file,,,
00000.00105,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019579,Othniel Charles Marsh papers,"Berger, Charles F.",file,,,
00000.00106,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019580,Othniel Charles Marsh papers,"Berlin, A. F.",file,,,
00000.00107,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019581,Othniel Charles Marsh papers,"Berthoud, Edward L.",file,,,
00000.00108,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019582,Othniel Charles Marsh papers,"Bibbins, Arthur",file,,,
00000.00109,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019583,Othniel Charles Marsh papers,"Bien, Julius (1826-1909)",file,,,
00000.00110,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019584,Othniel Charles Marsh papers,"Bierstadt, Albert (1830-1902)",file,,,
00000.00111,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019585,Othniel Charles Marsh papers,"Biggs, W.H.",file,,,
00000.00112,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019586,Othniel Charles Marsh papers,"Bigot, A.",file,,,
00000.00113,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019587,Othniel Charles Marsh papers,"Billings, E.",file,,,
00000.00114,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019588,Othniel Charles Marsh papers,"Billings, John Shand (1839-1913)",file,,,
00000.00115,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019589,Othniel Charles Marsh papers,"Binkley, S.H.",file,,,
00000.00116,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019590,Othniel Charles Marsh papers,"Blake, Clarence John (1843-1919)",file,,,
00000.00117,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019591,Othniel Charles Marsh papers,"Blake, Henry Arthur",file,,,
