total_count,11493
repository,Manuscripts and Archives

repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739811,Edward Mandell House papers,"Ambrose, William H.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739812,Edward Mandell House papers,"Amendola, Giovanni",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739813,Edward Mandell House papers,American Committee for the Independence of Armenia (*),file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739814,Edward Mandell House papers,American Committee for the Independence of Armenia,file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739815,Edward Mandell House papers,"<title render=""italic"">American Magazine</title>",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739816,Edward Mandell House papers,American Peace Award (*),file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739817,Edward Mandell House papers,American Peace Award,file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739818,Edward Mandell House papers,American Peace Award (*),file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739819,Edward Mandell House papers,American Peace Award,file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739820,Edward Mandell House papers,American Peace Award [and] Foundation (*),file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739821,Edward Mandell House papers,American Peace Award [and] Foundation (*),file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739822,Edward Mandell House papers,"Ames, Butler",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739823,Edward Mandell House papers,"Ames, Mrs. Butler",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739824,Edward Mandell House papers,"Ames, Charles W.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739825,Edward Mandell House papers,"Ames, J. S.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739826,Edward Mandell House papers,"Andersen, Hendrik C. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739827,Edward Mandell House papers,"Anderson, B. M., Jr. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739828,Edward Mandell House papers,"Anderson, Chandler P.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739829,Edward Mandell House papers,"Anderson, George W. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739830,Edward Mandell House papers,"Anderson, George W. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739831,Edward Mandell House papers,"Anderson, W. E.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739832,Edward Mandell House papers,"Andrew, A. Piatt (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739833,Edward Mandell House papers,"Andrews, Edward H. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739834,Edward Mandell House papers,"Andrews, Edward H. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739835,Edward Mandell House papers,"Andrews, Fannie Fern (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739836,Edward Mandell House papers,"Andrews, Frank (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739837,Edward Mandell House papers,"Andrews, Frank (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739838,Edward Mandell House papers,"Andrews, Frank",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739839,Edward Mandell House papers,"Andrews, Frank (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739840,Edward Mandell House papers,"Andrews, Frank (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739841,Edward Mandell House papers,"Andrews, Frank (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739842,Edward Mandell House papers,"Andrews, Mrs. Frank",file,,,
